source,target,id,weight,class,prod
713,1294,3965,4,용접,NA
713,1319,4023,4,,NA
714,1189,954,4,,
745,917,490,4,금속자재,부품
745,1189,955,4,,
745,1017,991,4,건축자재,인테리어철물
745,1011,997,4,건축자재,인테리어제품
745,932,1190,4,금속자재,부품
1345,1238,4497,4,,
1345,958,4494,4,플라스틱자재,아크릴
1345,1280,4495,4,기계제작1,NA
1345,1272,4496,4,기계제작1,NA
31,848,397,3,간판및광고물,명판
34,1093,2216,3,케이스,케이스
50,1308,1909,3,,NA
53,848,2546,3,간판및광고물,명판
58,1093,196,3,케이스,케이스
108,848,410,3,간판및광고물,명판
203,1306,4072,3,인쇄,NA
225,1296,3940,3,시공,NA
253,1294,1712,3,후처리2,NA
253,1272,1898,3,기계제작1,NA
262,1306,4061,3,인쇄,NA
267,848,2530,3,간판및광고물,명판
299,1276,1502,3,기계제작2,NA
299,1309,1625,3,,NA
299,1298,1840,3,인쇄,NA
311,1239,2896,3,,
311,904,3404,3,금속자재,봉
313,1289,1981,3,후처리1,NA
329,954,691,3,금속자재,스테인리스
331,1284,3702,3,기계제작2,NA
331,1317,3843,3,,NA
331,1306,4046,3,인쇄,NA
338,1294,1709,3,용접,NA
339,1017,987,3,건축자재,인테리어철물
339,1083,1213,3,금속자재,철
339,1014,1446,3,건축자재,인테리어제품
339,1286,1757,3,용접,NA
339,1280,1968,3,부품제작,NA
340,1294,3960,3,용접,NA
341,848,391,3,간판및광고물,명판
341,964,818,3,비철금속자재,알루미늄
343,1288,1720,3,시공,NA
361,1286,1768,3,용접,NA
375,1274,1677,3,기계제작2,NA
375,1311,1807,3,,NA
382,1297,4225,3,후처리1,NA
390,1294,3956,3,용접,NA
403,1266,2375,3,금속제품,금속
403,1267,2742,3,금속제품,비금속
415,848,2535,3,간판및광고물,명판
417,1282,3885,3,기계제작2,NA
417,1319,4021,3,,NA
420,1137,2162,3,플라스틱자재,플라스틱
420,958,2970,3,플라스틱자재,아크릴
420,869,2987,3,박스,박스
420,1284,3708,3,기계제작2,NA
420,1315,3816,3,,NA
420,1306,4065,3,인쇄,NA
448,1298,1825,3,인쇄,NA
449,848,2537,3,간판및광고물,명판
449,964,2999,3,비철금속자재,알루미늄
450,1331,4419,3,자수,NA
492,1298,1829,3,인쇄,NA
501,848,387,3,간판및광고물,명판
503,1137,139,3,플라스틱자재,플라스틱
503,958,784,3,플라스틱자재,아크릴
503,869,807,3,박스,박스
503,1276,1513,3,기계제작2,NA
503,1307,1602,3,,NA
503,1298,1836,3,인쇄,NA
504,1286,1745,3,용접,NA
514,1302,3930,3,후처리2,NA
514,1280,4102,3,기계제작1,NA
520,1239,728,3,,
520,904,1209,3,금속자재,봉
535,1266,2339,3,금속제품,금속
537,1284,3736,3,기계제작2,NA
537,1315,3811,3,,NA
543,848,386,3,간판및광고물,명판
543,962,583,3,비철금속자재,알루미늄
543,958,769,3,플라스틱자재,아크릴
543,964,817,3,비철금속자재,알루미늄
546,848,2544,3,간판및광고물,명판
546,962,2756,3,비철금속자재,알루미늄
546,958,2943,3,플라스틱자재,아크릴
546,964,3011,3,비철금속자재,알루미늄
566,1293,4082,3,자수,NA
568,1017,3175,3,건축자재,인테리어철물
568,1083,3408,3,금속자재,철
568,1014,3644,3,건축자재,인테리어제품
568,1294,3961,3,용접,NA
568,1288,4211,3,부품제작,NA
620,1266,2322,3,금속제품,금속
620,833,3222,3,기획,기획
634,1286,1736,3,용접,NA
634,1294,3973,3,용접,NA
639,1274,1694,3,기계제작2,NA
639,1282,3871,3,기계제작2,NA
648,1274,1703,3,기계제작1,NA
668,1266,1992,3,금속제품,금속
669,1266,2388,3,금속제품,금속
669,1267,2743,3,금속제품,비금속
691,1266,2010,3,금속제품,금속
1339,1316,4455,3,,NA
8,765,547,2,전기전자제품,가전제품(전기전자제품)
14,765,550,2,전기전자제품,가전제품(전기전자제품)
27,765,2704,2,전기전자제품,가전제품(전기전자제품)
36,1093,2225,2,케이스,케이스
36,848,2557,2,간판및광고물,명판
36,958,2963,2,플라스틱자재,아크릴
36,1128,3588,2,간판및광고물,표지판
53,1331,4404,2,기계제작2,NA
53,1317,3842,2,,NA
53,1306,4067,2,인쇄,NA
58,1308,4257,2,회로설계,NA
59,1093,195,2,케이스,케이스
59,848,425,2,간판및광고물,명판
59,958,798,2,플라스틱자재,아크릴
59,1128,1388,2,간판및광고물,표지판
66,1179,497,2,,
66,1178,677,2,,
80,765,2702,2,전기전자제품,가전제품(전기전자제품)
107,1300,2014,2,회로설계,NA
108,1309,1632,2,,NA
108,1298,1824,2,인쇄,NA
108,1277,1916,2,기계제작2,NA
108,1273,1917,2,기계제작1,NA
109,1126,2158,2,간판및광고물,표지판
109,958,2946,2,플라스틱자재,아크릴
109,1315,3814,2,,NA
110,848,2556,2,간판및광고물,명판
110,958,2955,2,플라스틱자재,아크릴
110,964,3002,2,비철금속자재,알루미늄
110,1128,3586,2,간판및광고물,표지판
116,1241,923,2,,
116,1167,964,2,,
116,1276,1507,2,기계제작2,NA
116,1307,1609,2,,NA
121,1126,133,2,간판및광고물,표지판
121,958,767,2,플라스틱자재,아크릴
121,1307,1603,2,,NA
128,848,400,2,간판및광고물,명판
128,958,787,2,플라스틱자재,아크릴
128,964,827,2,비철금속자재,알루미늄
128,1128,1390,2,간판및광고물,표지판
140,1241,3103,2,,
140,1167,3147,2,,
140,1284,3703,2,기계제작2,NA
140,1315,3812,2,,NA
157,799,1066,2,기계장비,공구
179,1184,1106,2,,
179,1086,1267,2,금속자재,커넥터
213,1325,3834,2,,NA
227,1328,4384,2,,NA
227,1331,4413,2,기계제작2,NA
227,1275,3802,2,기계제작1,NA
227,1274,4239,2,기계제작1,NA
228,848,2541,2,간판및광고물,명판
230,1326,4314,2,조명및전구,조명제품
235,780,2234,2,간판및광고물,간판
235,784,2983,2,간판및광고물,간판
235,1318,3831,2,,NA
235,1302,3934,2,후처리2,NA
236,1326,4304,2,조명및전구,조명제품
238,1058,39,2,조명및전구,조명제품
238,1060,105,2,조명및전구,조명제품
238,1326,4318,2,조명및전구,조명제품
245,1058,45,2,조명및전구,조명제품
245,1060,104,2,조명및전구,조명제품
245,1326,4302,2,조명및전구,조명제품
247,1326,4306,2,조명및전구,조명제품
251,1294,3963,2,용접,NA
253,848,383,2,간판및광고물,명판
255,1058,59,2,조명및전구,조명제품
255,1060,86,2,조명및전구,조명제품
256,1058,33,2,조명및전구,조명제품
256,1060,77,2,조명및전구,조명제품
257,848,385,2,간판및광고물,명판
260,1266,2311,2,금속제품,금속
272,1306,4047,2,인쇄,NA
275,1014,3649,2,건축자재,인테리어제품
276,1326,4343,2,조명및전구,조명제품
288,958,777,2,플라스틱자재,아크릴
288,964,825,2,비철금속자재,알루미늄
288,1309,1623,2,,NA
288,1277,1922,2,기계제작2,NA
288,1273,1923,2,기계제작1,NA
292,1319,4037,2,,NA
294,799,1071,2,기계장비,공구
